procs -----------memory---------- ---swap-- -----io---- -system-- ----cpu----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa
 1  0      0 29872144 133048 1373024    0    0     0     0 1063   27 12  0 87  0
 1  0      0 29872144 133048 1373036    0    0     0     0 1067   29 13  0 88  0
 1  0      0 29732892 133048 1373036    0    0     0     0 1066   43 12  1 87  0
 1  0      0 29732644 133056 1373028    0    0     0    48 1088   55 12  0 87  0
 1  0      0 29704372 133056 1373028    0    0     0     0 1074   35 12  0 87  0
 1  0      0 29698048 133056 1373040    0    0     0     0 1061   31 12  0 88  0
 1  0      0 29695568 133056 1373040    0    0     0     0 1075   41 13  0 88  0
procs -----------memory---------- ---swap-- -----io---- -system-- ----cpu----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa
 1  0      0 29695568 133056 1373040    0    0     0     0 1073   33 13  0 88  0
 1  0      0 29665932 133064 1373032    0    0     0    12 1088   62 12  0 87  0
 1  0      0 29658104 133064 1373044    0    0     0     0 1065   35 12  0 88  0
 1  0      0 29657112 133064 1373044    0    0     0     0 1079   47 13  0 88  0
 1  0      0 29656864 133064 1373044    0    0     0     0 1074   31 12  0 87  0
 1  0      0 29656244 133064 1373044    0    0     0     0 1065   29 13  0 88  0
 1  0      0 29603172 133072 1373040    0    0     0    12 1072   47 12  0 87  0
 1  0      0 29603172 133072 1373040    0    0     0     0 1076   46 12  0 87  0
 1  0      0 29603172 133072 1373040    0    0     0     0 1066   29 13  0 88  0
 1  0      0 29603172 133072 1373040    0    0     0     0 1060   27 12  0 88  0
 1  0      0 29603172 133072 1373052    0    0     0     0 1076   29 12  0 87  0
 1  0      0 29602924 133080 1373044    0    0     0    12 1099   69 13  0 87  0
 1  0      0 29603156 133080 1373044    0    0     0     0 1075   35 12  0 87  0
 1  0      0 29603156 133080 1373044    0    0     0     0 1066   29 12  0 88  0
 1  0      0 29603156 133080 1373052    0    0     0     0 1063   31 13  0 88  0
 1  0      0 29603156 133080 1373056    0    0     0     0 1087   51 13  0 88  0
 1  0      0 29603156 133088 1373048    0    0     0    12 1075   47 13  0 87  0
 1  0      0 29603156 133088 1373056    0    0     0     0 1079   39 12  0 88  0
 1  0      0 29603156 133088 1373056    0    0     0     0 1069   29 12  0 88  0
 1  0      0 29603156 133088 1373060    0    0     0     0 1070   43 12  0 87  0
 1  0      0 29550704 133088 1373060    0    0     0     0 1071   29 12  0 87  0
procs -----------memory---------- ---swap-- -----io---- -system-- ----cpu----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa
 1  0      0 29542520 133096 1373052    0    0     0    12 1097   59 12  0 87  0
 1  0      0 29542752 133096 1373064    0    0     0     0 1081   41 12  0 87  0
 1  0      0 29542504 133096 1373068    0    0     0     0 1074   43 13  0 88  0
 1  0      0 29542504 133096 1373068    0    0     0     0 1071   30 12  0 87  0
 1  0      0 29542504 133096 1373068    0    0     0     0 1075   37 12  0 88  0
 1  0      0 29542504 133104 1373060    0    0     0    72 1087   53 13  0 87  0
 1  0      0 29542504 133104 1373064    0    0     0     0 1072   45 12  0 87  0
 1  0      0 29542504 133104 1373064    0    0     0     0 1066   29 13  0 88  0
 1  0      0 29542504 133104 1373064    0    0     0     0 1084   35 13  0 88  0
 1  0      0 29542504 133104 1373072    0    0     0     0 1062   29 12  0 87  0
 1  0      0 29542256 133112 1373064    0    0     0    12 1101   77 12  0 87  0
 1  0      0 29542488 133112 1373068    0    0     0     0 1073   36 12  0 88  0
 1  0      0 29542488 133112 1373068    0    0     0     0 1063   27 12  0 87  0
 1  0      0 29495864 133112 1373076    0    0     0     0 1062   29 12  0 88  0
 1  0      0 29494996 133112 1373076    0    0     0     0 1076   45 13  0 88  0
 1  0      0 29494996 133120 1373072    0    0     0    12 1074   51 12  0 87  0
 1  0      0 29494996 133120 1373072    0    0     0     0 1065   27 13  0 88  0
 1  0      0 29494996 133120 1373080    0    0     0     0 1062   31 13  0 87  0
 1  0      0 29494996 133120 1373080    0    0     0     0 1078   48 12  0 87  0
 1  0      0 29478676 133120 1373084    0    0     0     0 1080   33 12  0 88  0
 1  0      0 29478428 133128 1373076    0    0     0    12 1100   65 12  0 87  0
procs -----------memory---------- ---swap-- -----io---- -system-- ----cpu----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa
 1  0      0 29478660 133128 1373084    0    0     0     0 1075   35 12  0 87  0
 1  0      0 29466260 133128 1373084    0    0     0     0 1075   45 12  0 88  0
 1  0      0 29465516 133128 1373088    0    0     0     0 1067   39 12  0 88  0
 1  0      0 29473148 133128 1373088    0    0     0     0 1065   31 13  0 88  0
 1  0      0 29462360 133136 1373080    0    0     0    12 1075   47 12  0 87  0
 1  0      0 29462236 133136 1373080    0    0     0     0 1072   43 12  0 87  0
 1  0      0 29462112 133136 1373080    0    0     0     0 1069   29 13  0 88  0
 1  0      0 29462112 133136 1373084    0    0     0     0 1060   27 13  0 88  0
 1  0      0 29462112 133136 1373092    0    0     0     0 1060   29 12  0 87  0
 1  0      0 29461908 133144 1373084    0    0     0    12 1098   81 12  0 87  0
 1  0      0 29461972 133144 1373092    0    0     0     0 1073   37 12  0 88  0
 1  0      0 29461972 133144 1373096    0    0     0     0 1075   35 12  0 87  0
 1  0      0 29461848 133144 1373096    0    0     0     0 1070   31 13  0 88  0
 1  0      0 29461848 133144 1373096    0    0     0     0 1078   45 13  0 88  0
 1  0      0 29461724 133152 1373088    0    0     0    56 1080   53 12  0 87  0
 1  0      0 29461724 133152 1373092    0    0     0     0 1077   35 12  0 88  0
 1  0      0 29461724 133152 1373100    0    0     0     0 1062   31 13  0 88  0
 1  0      0 29461600 133152 1373100    0    0     0     0 1067   45 12  0 87  0
 1  0      0 29461600 133152 1373100    0    0     0     0 1058   31 13  0 88  0
 1  0      0 29461520 133160 1373096    0    0     0    24 1088   51 12  0 87  0
 1  0      0 29461584 133160 1373104    0    0     0     0 1069   35 12  0 87  0
procs -----------memory---------- ---swap-- -----io---- -system-- ----cpu----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa
 1  0      0 29461460 133160 1373104    0    0     0     0 1068   43 13  0 87  0
 1  0      0 29461460 133160 1373104    0    0     0     0 1060   29 13  0 88  0
 1  0      0 29461336 133160 1373108    0    0     0     0 1074   37 12  0 87  0
 1  0      0 29461088 133168 1373100    0    0     0    12 1080   53 12  0 87  0
 1  0      0 29461088 133168 1373104    0    0     0     0 1072   43 13  0 87  0
 1  0      0 29461088 133168 1373104    0    0     0     0 1057   29 12  0 87  0
 1  0      0 29461088 133168 1373104    0    0     0     0 1064   31 13  0 87  0
 1  0      0 29461088 133168 1373116    0    0     0     0 1059   29 12  0 88  0
 1  0      0 29461008 133176 1373108    0    0     0    12 1101   61 12  0 87  0
 1  0      0 29461072 133176 1373108    0    0     0     0 1074   35 13  0 88  0
 1  0      0 29461072 133176 1373108    0    0     0     0 1063   29 13  0 88  0
 1  0      0 29461072 133176 1373120    0    0     0     0 1063   31 12  0 87  0
 1  0      0 29461072 133176 1373120    0    0     0     0 1071   47 12  0 88  0
 1  0      0 29461072 133184 1373112    0    0     0    12 1092   61 12  0 87  0
 1  0      0 29461072 133184 1373112    0    0     0     0 1073   31 12  0 87  0
 1  0      0 29461072 133184 1373124    0    0     0     0 1074   33 13  0 88  0
 1  0      0 29460948 133184 1373124    0    0     0     0 1084   51 12  0 87  0
 1  0      0 29460948 133184 1373124    0    0     0     0 1063   27 12  0 88  0
 1  0      0 29460868 133192 1373116    0    0     0    12 1086   49 13  0 87  0
 1  0      0 29460932 133192 1373128    0    0     0     0 1074   41 13  0 88  0
 1  0      0 29460932 133192 1373128    0    0     0     0 1091   43 12  0 87  0
procs -----------memory---------- ---swap-- -----io---- -system-- ----cpu----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa
 1  0      0 29460932 133192 1373128    0    0     0     0 1062   29 12  0 88  0
 1  0      0 29460932 133192 1373128    0    0     0     0 1067   29 13  0 88  0
 1  0      0 29460932 133200 1373120    0    0     0    12 1075   47 12  0 87  0
 1  0      0 29460932 133200 1373132    0    0     0     0 1072   47 13  0 88  0
 1  0      0 29460932 133200 1373132    0    0     0     0 1072   29 12  0 88  0
 1  0      0 29460932 133200 1373132    0    0     0     0 1063   27 12  0 87  0
 1  0      0 29460932 133200 1373132    0    0     0     0 1070   32 13  0 88  0
 1  0      0 29460684 133208 1373128    0    0     0    12 1113   71 12  0 87  0
 1  0      0 29460916 133208 1373128    0    0     0    44 1080   37 13  0 88  0
 1  0      0 29460916 133208 1373128    0    0     0     0 1067   27 13  0 88  0
 1  0      0 29460916 133208 1373136    0    0     0     0 1067   29 12  0 87  0
 1  0      0 29460916 133208 1373140    0    0     0     0 1072   45 13  0 88  0
 1  0      0 29460916 133216 1373132    0    0     0    28 1090   45 12  0 87  0
 1  0      0 29460916 133216 1373132    0    0     0     0 1063   29 12  0 87  0
 1  0      0 29460916 133216 1373140    0    0     0     0 1066   31 13  0 88  0
 1  0      0 29460916 133216 1373144    0    0     0     0 1083   43 13  0 88  0
 1  0      0 29460916 133216 1373144    0    0     0     0 1068   29 12  0 87  0
 1  0      0 29460668 133224 1373136    0    0     0    12 1089   55 12  0 87  0
 1  0      0 29460900 133224 1373144    0    0     0     0 1072   37 13  0 88  0
 1  0      0 29460900 133224 1373144    0    0     0     0 1092   53 12  0 87  0
 1  0      0 29460900 133224 1373148    0    0     0     0 1074   33 13  0 88  0
procs -----------memory---------- ---swap-- -----io---- -system-- ----cpu----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa
 1  0      0 29460900 133224 1373148    0    0     0     0 1067   30 12  0 88  0
 1  0      0 29460900 133232 1373140    0    0     0    12 1075   51 12  0 87  0
 1  0      0 29460900 133232 1373140    0    0     0     0 1078   49 13  0 88  0
 1  0      0 29460900 133232 1373144    0    0     0     0 1072   29 13  0 88  0
 1  0      0 29460900 133232 1373144    0    0     0     0 1071   27 12  0 88  0
 1  0      0 29460776 133232 1373152    0    0     0     0 1073   29 13  0 88  0
