procs -----------memory---------- ---swap-- -----io---- -system-- ----cpu----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa
 1  0 1208016 12052496 802416 15409188    0    0     0     0 2005 1248 16  1 83  0
 1  1 1208016 11965160 802424 15409180    0    0     0    20 1717  887 15  1 84  0
 1  0 1208016 11910632 802424 15409188    0    0     0     0 1239  252 13  0 87  0
 1  0 1208016 12008572 802424 15409188    0    0     0    12 1703  908 15  0 85  0
 1  0 1208016 12008608 802424 15409188    0    0     0     8 1719  851 15  0 85  0
 1  0 1208016 12008576 802424 15409188    0    0     0     0 1532  648 14  0 85  0
 1  0 1208016 11897732 802424 15409188    0    0     0     0 2013 1284 16  1 83  0
 1  0 1208016 11839808 802432 15409188    0    0     0    12 1741  886 15  1 84  1
 1  0 1208016 11762276 802432 15409192    0    0     0     0 1833 1043 16  1 84  0
 3  0 1208016 11743604 802432 15409192    0    0     0     0 1713  848 15  0 85  0
 1  0 1208016 11685344 802432 15409192    0    0     0     0 1718  841 15  0 85  0
 1  0 1208016 11666668 802432 15409192    0    0     0     0 1552  644 14  1 85  0
 1  1 1208016 11701880 802440 15403080    0    0     0    12 2051 1293 16  1 83  0
procs -----------memory---------- ---swap-- -----io---- -system-- ----cpu----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa
 1  0 1208016 11613376 802440 15403068    0    0     0     0 1424  494 14  0 86  1
 1  0 1208016 11571808 802440 15403544    0    0     0     0 1262  314 13  0 87  0
 1  0 1208016 11552880 802440 15404084    0    0     0     0 1430  518 14  0 86  0
 1  0 1208016 11535948 802440 15404128    0    0     0     0 1410  477 14  0 86  0
 1  1 1208016 11519300 802456 15404916    0    0     0  1544 1285  342 13  0 86  1
 1  0 1208016 11502544 802456 15404848    0    0     0     0 1391  459 14  0 86  0
 1  0 1208016 11485840 802456 15405212    0    0     0    12 1432  503 14  0 86  0
